step,loss,acc
7810,374.67828,0.98438
7820,43.39111,0.98438
7830,0.00000,1.00000
7840,148.64697,0.95312
7850,243.65051,0.95312
7860,465.35193,0.96875
7870,406.60263,0.95312
7880,425.26807,0.96875
7890,701.92291,0.92188
7900,138.94028,0.96875
7900,332.97040,0.96440
7910,699.64667,0.95312
7920,265.05121,0.96875
7930,539.86981,0.96875
7940,107.20386,0.98438
7950,760.12061,0.92188
7960,154.33554,0.96875
7970,0.00000,1.00000
7980,164.01160,0.96875
7990,692.84937,0.93750
8000,789.96973,0.93750
8000,258.60956,0.96760
8010,0.00000,1.00000
8020,144.07135,0.96875
8030,0.00000,1.00000
8040,464.65567,0.92188
8050,487.68201,0.93750
8060,0.00000,1.00000
8070,370.85480,0.96875
8080,2.93896,0.98438
8090,0.00000,1.00000
8100,41.32068,0.98438
8100,307.58167,0.96540
8110,345.39401,0.95312
8120,0.00000,1.00000
8130,683.41333,0.95312
8140,734.22107,0.90625
8150,467.11609,0.98438
8160,0.75482,0.98438
8170,0.00000,1.00000
8180,0.00000,1.00000
8190,541.62091,0.95312
8200,56.73706,0.98438
8200,273.23816,0.97100
8210,99.96973,0.98438
8220,550.38995,0.98438
8230,363.37680,0.95312
8240,255.69952,0.96875
8250,31.80652,0.98438
8260,431.44147,0.96875
8270,487.85580,0.95312
8280,0.00000,1.00000
8290,0.00000,1.00000
8300,157.67934,0.96875
8300,256.14011,0.96720
8310,0.00000,1.00000
8320,0.00000,1.00000
8330,465.68262,0.93750
8340,517.07245,0.93750
8350,15.10400,0.98438
8360,0.00000,1.00000
8370,347.64206,0.90625
8380,368.53656,0.95312
8390,0.00000,1.00000
8400,465.98792,0.95312
8400,300.91110,0.96480
8410,222.19635,0.98438
8420,105.80554,0.98438
8430,271.19113,0.96875
8440,482.11404,0.95312
8450,268.19131,0.93750
8460,33.03448,0.98438
8470,302.12888,0.93750
8480,576.08826,0.95312
8490,433.68378,0.95312
8500,582.81531,0.98438
8500,302.09940,0.96400
8510,954.73853,0.87500
8520,232.23337,0.95312
8530,163.80518,0.98438
8540,198.50146,0.98438
8550,33.70770,0.96875
8560,454.98859,0.93750
8570,589.94220,0.92188
8580,583.24860,0.93750
8590,900.35181,0.95312
8600,408.63690,0.95312
8600,243.60085,0.97200
8610,95.65271,0.95312
8620,82.69281,0.98438
8630,68.76303,0.98438
8640,457.67960,0.95312
8650,287.58228,0.95312
8660,283.32666,0.92188
8670,435.49658,0.98438
8680,15.37903,0.98438
8690,171.02429,0.96875
8700,426.54254,0.96875
8700,230.79222,0.97100
8710,1110.54468,0.87500
8720,0.00000,1.00000
8730,42.99487,0.96875
8740,357.21069,0.96875
8750,89.70309,0.96875
8760,601.36224,0.93750
8770,129.54468,0.96875
8780,0.00000,1.00000
8790,35.52515,0.96875
8800,804.23962,0.92188
8800,282.84741,0.96620
8810,0.00000,1.00000
8820,292.05267,0.96875
8830,0.00000,1.00000
8840,250.23453,0.95312
8850,24.63300,0.98438
8860,363.30127,0.98438
8870,18.69580,0.98438
8880,108.14014,0.96875
8890,0.00000,1.00000
8900,1034.56238,0.90625
8900,307.71909,0.96560
8910,215.81062,0.96875
8920,235.70325,0.98438
8930,46.71344,0.96875
8940,0.00000,1.00000
8950,63.71786,0.98438
8960,671.98621,0.92188
8970,485.99500,0.95312
8980,37.83264,0.96875
8990,607.68646,0.92188
9000,559.31970,0.90625
9000,294.83505,0.96440
9010,626.10522,0.96875
9020,0.98218,0.98438
9030,45.70639,0.96875
9040,182.03885,0.96875
9050,69.83391,0.98438
9060,0.70825,0.98438
9070,285.24017,0.95312
9080,168.75882,0.96875
9090,39.08505,0.96875
9100,70.59863,0.96875
9100,266.29349,0.96620
9110,72.62714,0.98438
9120,153.88022,0.96875
9130,151.00757,0.98438
9140,326.55515,0.98438
9150,20.45099,0.98438
9160,328.00534,0.93750
9170,64.28023,0.98438
9180,226.02573,0.98438
9190,222.32373,0.98438
9200,103.67665,0.98438
9200,215.02693,0.97200
9210,17.97302,0.98438
9220,27.83807,0.98438
9230,218.77551,0.98438
9240,224.73589,0.96875
9250,573.00232,0.92188
9260,54.36240,0.96875
9270,99.42334,0.98438
9280,0.00000,1.00000
9290,594.88916,0.93750
9300,369.11459,0.93750
9300,288.41174,0.96500
9310,31.83601,0.96875
9320,154.97430,0.98438
9330,0.00000,1.00000
9340,231.59827,0.95312
9350,0.00000,1.00000
9360,177.48264,0.95312
9370,164.05621,0.98438
9380,240.97647,0.95312
9390,47.97739,0.96875
9400,57.93900,0.96875
9400,231.53275,0.97120
9410,111.57727,0.96875
9420,0.00000,1.00000
9430,598.43890,0.95312
9440,154.53517,0.95312
9450,20.97604,0.96875
9460,0.00000,1.00000
9470,61.63177,0.98438
9480,470.38065,0.96875
9490,684.33948,0.96875
9500,11.83643,0.98438
9500,209.07314,0.97040
9510,766.32825,0.96875
9520,306.84387,0.98438
9530,65.46687,0.98438
9540,50.18633,0.96875
